created_at,id,edit_history_tweet_ids,text,annote
2022-12-11T20:15:26.000Z,1602034344620707840,['1602034344620707840'],fuck elon musk lolis will always be around but you'll eventually go bankrupt cause of twitter cant wait for that day to happen you piece of shit https://t . co/z3OCwO6KU4 https://t . co/OTrC3qq3ow,2
2022-12-11T20:15:26.000Z,1602034342414483462,['1602034342414483462'], JUST IN: Elon Musk has joined the ranks of most successful leaders of internet crime . Mark Zuckerberg still holds the top spot . Elon still very wet behind the ears hasn’t realized yet that Zuckerberg’s people are using the Twitter platform . ,4
2022-12-11T20:15:25.000Z,1602034340921237505,['1602034340921237505'],"    Elon Musk's Sunday
-Launch Hakuto-R Mission 1 lunar lander
-Falcon 9 Booster sticks landing on pad 2
-releases more 
-Shitposts with gusto on social media all along
-2pm what to do rest of the day ? ",2
2022-12-11T20:15:23.000Z,1602034331106541572,['1602034331106541572'], Elon Musk forecasts on Covid are just as awesome as his forecasts on cryptocurrency . ,4
2022-12-11T20:15:21.000Z,1602034323967844354,['1602034323967844354'],"I'll say he knows and he doesn't care . More traffic won't bring more advertising if the traffic is trash

Elon Musk’s basic misunderstandings of free speech are a problem for all of us

https://t . co/DROWqGvNQA",0
2022-12-11T20:15:21.000Z,1602034321178632194,['1602034321178632194']," "" My Pronouns are Prosecute/Fauci "" - Twitter Owner ELON MUSK to Release the Twitter Files on COVID and Dr Fauci https://t "" co/gar0MDuMba via ",2
2022-12-11T20:15:18.000Z,1602034310055337988,['1602034310055337988'],"  Elon Musk isn’t a woke Disney marvel superhero , he’s a REAL superhero restoring freedom of speech to the world and fighting woke censorship…",2
2022-12-11T20:15:17.000Z,1602034307270598657,['1602034307270598657'],"It’s almost kind of like I don’t know , don’t wanna go out on a limb here , but when private equity buys something and they intentionally destroy and literally strip it for parts , Wtf do I know though , Elon is a genius , thank you Elon https://t , co/QzlLMGHVEn",4
2022-12-11T20:15:14.000Z,1602034291894284288,['1602034291894284288'],"for clarification:

**Elon Musk is a moron https://t . co/84az3fbKaj",2
2022-12-11T20:15:14.000Z,1602034291583889408,['1602034291583889408'], Elon musk cleaning up Twitter is the start of the enlightenment start of the enlightenment start of the enlightenment,2
2022-12-11T20:15:12.000Z,1602034285401219073,['1602034285401219073'],I wish you could easily transfer all your followers/followees to Post . Then making a break with Twitter would be easier . Elon Musk is a garbage human being . but it sucks that we feel we need to leave our contacts and content behind because of one rich a$$hole (pardon my French) . ,0
2022-12-11T20:15:10.000Z,1602034276177825795,['1602034276177825795'],"   Go Elon Musk , you are helping our country in a time of great need , ",4
2022-12-11T20:15:10.000Z,1602034275938750464,['1602034275938750464'],"Musk: 'Twitter Is Both Social Media Company , Crime Scene' https://t , co/BhoERonpKL",2
2022-12-11T20:15:09.000Z,1602034271266668544,['1602034271266668544'],"elon musk watching users tweeting about "" twitter is down "" 

 https://t "" co/6kKgecjyAx",2
2022-12-11T20:15:08.000Z,1602034267919626240,['1602034267919626240'],"I understand both sentiments &amp ; i applaud Elon Musk for trying to limit the spread of child exploitation material ; on Twitter ; 

That being said ; banning certain words on Twitter will NOT stop criminals ; from finding other ways to spread CESM ; It'll only harm common discourse ; https://t ; co/jixKzWiuAa https://t ; co/JS67HRZa0r",2
2022-12-11T20:15:07.000Z,1602034261846069252,['1602034261846069252'],"Sorry , let me see if I understand this correctly: Elon Musk is a champion of , free speech , , all free speech , no matter how critical or uncomfortable , free speech being a reflection of a healthy society , until the moment when his employees use their speech to critique him , ",4
2022-12-11T20:15:05.000Z,1602034255894171648,['1602034255894171648'],"                 Thank you Karim ! I appreciate the mention ! 

I know it's confusing but following me at  This where I'm mostly at now ! 

This account  was resurrected by Elon Musk a few months ago ! I'm not sure what to do with it right now ! 

The current account ! https://t ! co/DRmyD1p5tk",2
2022-12-11T20:15:05.000Z,1602034255642906624,['1602034255642906624'], Elon Musk is a pedophile who hangs out with child sex traffickers . ,2
2022-12-11T20:15:05.000Z,1602034255185334272,['1602034255185334272'], Maybe it's time Elon Musk got his bottoms pushed so he can show his real face 🤣https://t . co/fNvkx5QCHf,2
2022-12-11T20:15:03.000Z,1602034247954579456,['1602034247954579456'],"    You know Elon killed a bunch of animals with his Neuralink testing , right , Are you dumb , delusional , or both , 

https://t , co/BzrYUnZwEC",2
2022-12-11T20:15:02.000Z,1602034242178818048,['1602034242178818048'],Elon Musk's tweets on Saturday about Yoel Roth leave Twitter's former safety head susceptible to online abuse https://t . co/7694DFamOj via ,2
2022-12-11T20:15:02.000Z,1602034240908103686,['1602034240908103686'], JUST IN: Elon Musk has joined the ranks of most successful leaders of internet crime . Mark Zuckerberg still holds the top spot . Elon still very wet behind the ears hasn’t realized yet that Zuckerberg’s people are using the Twitter platforms,4
2022-12-11T20:15:00.000Z,1602034236176875526,['1602034236176875526'],Elon Musk targets Dr . Anthony Fauci in viral tweet . drawing backlash https://t . co/IdbOh10x0w,2
2022-12-11T20:14:55.000Z,1602034212856811520,['1602034212856811520']," Twitter is Elon Musk's write off , figuratively , and literally , ",2
2022-12-11T20:14:53.000Z,1602034206338588674,['1602034206338588674'],Unsual Elon musk w https://t . co/T9hkjyfmis https://t . co/xdQ202fo2R,2
2022-12-11T20:14:49.000Z,1602034189360017408,['1602034189360017408'],"What is so venal &amp ; dishonest about Elon Musk's shaming of moderation efforts during is that moderation is by definition necessary AND full of gray areas ; 

Take down nudity ; Underage racy ; Revenge porn ; Slut shaming ; 

How about encouraging violence against others ; ",4
2022-12-11T20:14:49.000Z,1602034188114616321,['1602034188114616321'], Uh do you hate Elon musk and love the left ? ,2
2022-12-11T20:14:47.000Z,1602034180606550017,['1602034180606550017'],"  Elon , 

Is poking fun of the transgendered , LGBTQ community that often uses pronouns as identifiers , 

Pronoun , , , 

Elon Musk and Donald Trump are one in the same , ",2
2022-12-11T20:14:44.000Z,1602034169172877321,['1602034169172877321'],"Leaks have kept me in the scoop business for more than two decades . 
I've seen this happen only a few times . 
Elon’s betting the threat - not the litigation itself - has the desired chilling effect . 
https://t . co/AqBY3rgYjZ",2
2022-12-11T20:14:43.000Z,1602034163455905792,['1602034163455905792'],  We like Elon Musk and he is doing the right thing for our country . ,2
2022-12-11T20:14:42.000Z,1602034158062149632,['1602034158062149632'], At least Elon Musk isn’t unbearably stupid . ,2
2022-12-11T20:14:42.000Z,1602034157550444545,['1602034157550444545'], JUST IN: Elon Musk has joined the ranks of most successful leaders of internet crime . Mark Zuckerberg still holds the top spot . Elon still very wet behind the ears hasn’t realized yet that Zuckerberg’s people are using the Twitter platform,4
2022-12-11T20:14:41.000Z,1602034153704157184,['1602034153704157184'],  It's not a mistake who do you think the founders of America where at first before the first amendment they where a secret society of political writers Elon Musk is being nothing more then a patriot . ,2
2022-12-11T20:14:38.000Z,1602034143671779328,['1602034143671779328'],"Helpful thread regarding the Hunter Biden Laptop story and all the Elon Musk Twitter Files . 

House Dems should launch an investigation in early Jan before House GOP so they can expose all this BS now . 

 https://t . co/NuubaLTH69",2
2022-12-11T20:14:38.000Z,1602034140278292481,['1602034140278292481'],"  Thank you , Elon Musk , ",2
2022-12-11T20:14:37.000Z,1602034139859128320,['1602034139859128320'],"  Elon Musk is nothing but a barbarian with money , a second rate bully who is told he's witty by his stooges , ",4
2022-12-11T20:14:37.000Z,1602034139603017729,['1602034139603017729'],The Twitter bird is slowly dying at the grasp of Elon Musk . ,2
2022-12-11T20:14:37.000Z,1602034138005262336,['1602034138005262336'],Everyone needs to put politics aside and give Elon musk a big hug and tell him they love him it's the right thing to do during these difficult and unprecedented times . ,4
2022-12-11T20:14:36.000Z,1602034133177610241,['1602034133177610241'],"Elon Musk Calls For Fauci’s Prosecution , Attacks Twitter’s Ex-Safety Head https://t , co/n2N84AUxT6",2
2022-12-11T20:14:36.000Z,1602034132749623297,['1602034132749623297'], Thank you Mr . Elon Musk . ,2
2022-12-11T20:14:36.000Z,1602034132036440064,['1602034132036440064'],Elon Musk Faces Backlash for 'Prosecute/Fauci' Tweet: 'No Class' https://t . co/bEHwdLHZhM opin( Republican stooge no class,2
2022-12-11T20:14:35.000Z,1602034130258169856,['1602034130258169856'], Chief we can see Elon musk says he has attacks by bots on his website . Can we send in a recon team to find out who's doing what and take the culprits to channel 12 . ,2
2022-12-11T20:14:34.000Z,1602034127397691392,['1602034127397691392'],   You don't stop shitting on Twitter . But every single fucking day you are here . I think you must think about what to tweet every day . Elon Musk seems to occupy 70% of your thoughts,2
2022-12-11T20:14:31.000Z,1602034112944128001,['1602034112944128001'],  elon musk is a 4 . 9 billion dollar welfare queen . Now say something else as stupid as your line about liberals . ,2
2022-12-11T20:14:29.000Z,1602034103062233091,['1602034103062233091'],     You are a sick twisted little petrified man . Elon Musk will uncover your crimes next😉,2
2022-12-11T20:14:28.000Z,1602034098830286848,['1602034098830286848'],"How it started: “Twitter obviously cannot become a free-for-all hellscape , where anything can be said with no consequences , ”- Elon Musk

How it’s going: https://t , co/PPzKQN8qfC",2
2022-12-11T20:14:26.000Z,1602034093528879104,['1602034093528879104'],Elon Musk has increasingly aligned himself with right-wing commentators like those attacking Dr . Anthony Fauci . https://t . co/xbTjSsUdCx # via ,2
2022-12-11T20:14:24.000Z,1602034085035229185,['1602034085035229185'],Top story: : 'Elon Musk confirms that Twitter’s character limit will be raised from 280 to 4000 characters . ' https://t . co/3anoeoLWn0 . see more https://t . co/m0IjssHOTS,2
2022-12-11T20:14:24.000Z,1602034083000901632,['1602034083000901632'],"I don’t think Elon Musk really believes in anything , all he wants is to be considered funny and the only ones who are laughing at his jokes are right wing trolls , so obviously he is now a full right winger",4
2022-12-11T20:14:23.000Z,1602034078836002819,['1602034078836002819'],"this elon musk drag , , , , https://t , co/dK1mJSimcv",2
2022-12-11T20:14:21.000Z,1602034071852531716,['1602034071852531716'], God bless our freedom fighter Elon Musk https://t . co/O8fM71MYmA,2
2022-12-11T20:14:21.000Z,1602034071827513344,['1602034071827513344'], That's it ! Elon Musk ruined twitter ! I'm deleting my twitter account ! ,2
2022-12-11T20:14:21.000Z,1602034070254411776,['1602034070254411776'], Elon Musk obviously a typical example,2
2022-12-11T20:14:20.000Z,1602034068287266816,['1602034068287266816'], But Elon Musk is a punchline . ,2
2022-12-11T20:14:19.000Z,1602034063623475200,['1602034063623475200'], I’m a bigger fan of the IRS looking into Elon Musk,2
2022-12-11T20:14:17.000Z,1602034055842873345,['1602034055842873345'], False information ; Elon Musk is OK with people disagreeing with him ; Dr ; Fauci wilfully and purposely censored and fired people who disagreed with him ; He does not represent science ; he represents the deep state ; ,4
2022-12-11T20:14:16.000Z,1602034049618698240,['1602034049618698240'], She is farming attention from Elon Musk . ,2
2022-12-11T20:14:13.000Z,1602034037878554626,['1602034037878554626'], really ? Apparently this was going on for a couple weeks because of Elon Musk ? ,2
2022-12-11T20:14:13.000Z,1602034036305600512,['1602034036305600512'],  Your pronouncement may be premature but it's not outlandish to predict that Twitter won't thrive or even survive Elon Musk's ownership . He's an odious scale-thumber who has carried water for Russia and dark right-wing forces in the U . S . ,0
2022-12-11T20:14:12.000Z,1602034033839542275,['1602034033839542275'],"Elon Musk Exposes Hidden Agenda , DESTROYS Jack Dorsey - Twitter Drama Wo , , , https://t , co/XyA9gyEdA3 via ",2
2022-12-11T20:14:12.000Z,1602034032468017152,['1602034032468017152'],"Elon Musk is proof that you can be an absolute idiot and still get rich . 

And by . get rich . . I mean . be born into wealth . . ",2
2022-12-11T20:14:11.000Z,1602034030010019841,['1602034030010019841'],  No intelligent person with a lot to lose would get political in the current environment UNLESS that person is indeed sincere about improving society . Thank you to Elon Musk,0
2022-12-11T20:14:11.000Z,1602034028479217664,['1602034028479217664'],"So it's the same it always was then with a slightly better slant . @ Elon Musk and his enablers have turned this website into a torrent of ad hominem attacks . lies floated as jokes . and blatant misinformation . 

This isn’t freedom of speech . It’s just dangerous . ",0
2022-12-11T20:14:10.000Z,1602034026423848960,['1602034026423848960'],"Elon Musk Calls For Anthony Fauci's Prosecution , Attacks Twitter’s Ex-Safety Head | HuffPost Latest News https://t , co/EhKNLXyJ16",2
2022-12-11T20:14:09.000Z,1602034020551991296,['1602034020551991296'],   Why are you engaging this narcissism ? Elon Musk thinking that his politics matter for ? Civilization ? tells you all you need to know about how out of touch with reality he is ? ,2
2022-12-11T20:14:09.000Z,1602034020065619969,['1602034020065619969'],  That Elon Musk is a Fucking/Idiot . ,2
2022-12-11T20:14:08.000Z,1602034016059793416,['1602034016059793416'],    . . . and freedom of speech = Elon Musk's speech . ,2
2022-12-11T20:14:08.000Z,1602034015623872512,['1602034015623872512'], Absolutely there’s been no better time to bully Elon Musk,2
2022-12-11T20:14:08.000Z,1602034014793404417,['1602034014793404417'],"Neuralink , one of Elon Musk’s lesser-known business ventures , is facing a federal investigation into its practices after 1 , 500 animals are said to have been killed in trials of the company’s brain implants , 
https://t , co/G5DLonhdce",2
2022-12-11T20:14:04.000Z,1602033998699630592,['1602033998699630592'],Elon Musk Trolled Too Strong &amp ; Calls for Silence on Twitter https://t ; co/pMoVrBvMvI,2
2022-12-11T20:14:02.000Z,1602033993041547264,['1602033993041547264'],  https://t . co/6RtM38sUUT Then why not solve for unnatural death first . ,2
2022-12-11T20:14:01.000Z,1602033987706306560,['1602033987706306560'],Elon Musk is insane . ,2
2022-12-11T20:14:01.000Z,1602033986959998976,['1602033986959998976'], can you write a message that sounds like someone obsessed with elon musk,2
2022-12-11T20:14:01.000Z,1602033985592385537,['1602033985592385537'],Elon Musk broke  🤣🤣🤣 https://t . co/x3AdSC1RbN,2
2022-12-11T20:13:58.000Z,1602033974028673025,['1602033974028673025'], Elon Musk is the only American with the power to effectively defend - and save - free speech in the USA . Fauci belongs in jail . ,2
2022-12-11T20:13:56.000Z,1602033965803704323,['1602033965803704323'],Elon Musk Calls for Dr . Fauci to Be Prosecuted Weeks After Twitter Halts COVID-19 Misinformation Policy https://t . co/GhKcIbF9Is,2
2022-12-11T20:13:56.000Z,1602033965048676352,['1602033965048676352'], Thank u mr Elon Musk ! ! ! ,2
2022-12-11T20:13:55.000Z,1602033961529708544,['1602033961529708544'],Elon Musk wants to be a star but he is just a loser with too much money . https://t . co/8hmHrMaNd9,2
2022-12-11T20:13:51.000Z,1602033944815603712,['1602033944815603712']," Can you accept the monument of Elon musk and pass it on to him , the egt team worked day and nights just to gift it to him thanks https://t , co/5kW7j8RVlT",4
2022-12-11T20:13:50.000Z,1602033941997060096,['1602033941997060096'], JUST IN: Elon Musk has joined the ranks of most successful leaders of internet crime . Mark Zuckerberg still holds the top spot . Elon still very wet behind the ears hasn’t realized yet that Zuckerberg’s people are using the Twitter platform . ,4
2022-12-11T20:13:50.000Z,1602033940486885378,['1602033940486885378'],  Elon Musk defends free speech while Fauci lies continuously . ,2
2022-12-11T20:13:49.000Z,1602033937387491328,['1602033937387491328'], Elon Musk is trying to educate you on what’s been done to the whole world . If you don’t want to listen . that’s your choice . For those that have researched Fauci and the jabs . we already know what’s coming . ,2
2022-12-11T20:13:49.000Z,1602033936917757952,['1602033936917757952'], Elon Musk has just announced the name of his next child 8=D . It's pronounced Chode . ,2
2022-12-11T20:13:47.000Z,1602033930118504449,['1602033930118504449']," What if after rejecting the one million dollars for a dinner with elon musk , and then at the dinner you ask him for money and he refuses , Dey play 😹😹😹",2
2022-12-11T20:13:46.000Z,1602033925920006144,['1602033925920006144']," "" Twitter was filled with more child pornography and pornography overall than any other social media platform until Elon Musk started taking it off "" "" informed Marjorie Taylor Greene https://t "" co/auu6NVkSDt",2
2022-12-11T20:13:44.000Z,1602033916151762944,['1602033916151762944'],"i am literally going to have to spend hours blocking people , as my feed is full of these deluded twats - , , , , , , , , , 
WHAT THE FUCK HAS ELON DONE TO TWITTER , , , https://t , co/M13ZdR0VTs",2
2022-12-11T20:13:43.000Z,1602033911332491269,['1602033911332491269'], My pronouns are fuck/off/Elon Musk,2
2022-12-11T20:13:41.000Z,1602033902826426369,['1602033902826426369'],"   Thankfully , Elon Musk took time to attempt to investigate the entire covid ordeal , He realized a way to allow some of the BS to be revealed , Spent his money to help ppl openly communicate , too , I applaud him , ",2
2022-12-11T20:13:41.000Z,1602033901202964483,['1602033901202964483'],"  No , Elon Musk would be in control",2
2022-12-11T20:13:40.000Z,1602033900246765575,['1602033900246765575'],Elon Musk for 🇺🇸President ? ? ,2
2022-12-11T20:13:37.000Z,1602033887970033670,['1602033887970033670']," If I have to go with my gut and see Elon Musk teasing , yes , ",2
2022-12-11T20:13:37.000Z,1602033887764529153,['1602033887764529153'],"Tony Stark saved the world with a snap of his fingers . 

Elon Musk paid 44bn for Twitter . https://t . co/OrVbnLnG23",2
2022-12-11T20:13:36.000Z,1602033881510825984,['1602033881510825984'],Reckon john redwood has been bought by Elon Musk . . . ,2
2022-12-11T20:13:35.000Z,1602033879237681152,['1602033879237681152'],Thank You Elon Musk for exposing this mad scientist . https://t . co/3q1vRNhKxB,2
2022-12-11T20:13:35.000Z,1602033878864216065,['1602033878864216065'], Hello Elon musk can I get 2000,2
2022-12-11T20:13:34.000Z,1602033874044915714,['1602033874044915714'], U are a person at hiden place . We can't find real elon to because u have more than1000 face back of your musk . ,2
2022-12-11T20:13:33.000Z,1602033871003865088,['1602033871003865088'],   People put themselves in political boxes . Elon Musk has done the same . Why is it wrong to point that out . ,0
2022-12-11T20:13:31.000Z,1602033861642227712,['1602033861642227712'],Imagine being upset and taking your tears to Twitter because Elon Musk criticized Dr . Fauci . ,0
2022-12-11T20:13:30.000Z,1602033856353271810,['1602033856353271810'], You're not Elon Musk . ,2
2022-12-11T20:13:29.000Z,1602033853543104512,['1602033853543104512'],Join Because I am Elon Musk,2
